                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.3348,                0.79248,                 1.1637,                0.93947,                0.33397,                0.41445,                0.30444,                    nan,                    nan,                    nan,               0.007789,               0.007789,               0.007789
                     69,                 1.3385,                0.78507,                 1.1628,                0.94474,                0.33709,                0.41225,                0.29486,                    nan,                    nan,                    nan,               0.007756,               0.007756,               0.007756
                     70,                 1.3285,                0.78101,                 1.1602,                0.95798,                0.33402,                0.42193,                0.31208,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     71,                  1.336,                0.78094,                 1.1641,                0.96248,                0.33197,                0.41673,                0.30179,                    nan,                    nan,                    nan,                0.00769,                0.00769,                0.00769
                     72,                 1.3228,                0.78361,                 1.1604,                0.97188,                0.33197,                0.41592,                0.30605,                    nan,                    nan,                    nan,               0.007657,               0.007657,               0.007657
                     73,                 1.3275,                 0.7749,                 1.1603,                0.96254,                0.33504,                0.38645,                0.28487,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     74,                 1.3101,                0.77012,                  1.153,                0.97546,                0.33504,                 0.4128,                0.30231,                    nan,                    nan,                    nan,               0.007591,               0.007591,               0.007591
                     75,                 1.3306,                0.78368,                 1.1684,                 0.9563,                0.33504,                0.39991,                0.29431,                    nan,                    nan,                    nan,               0.007558,               0.007558,               0.007558
                     76,                 1.3196,                0.77511,                  1.164,                0.96744,                0.33197,                0.41576,                0.30918,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     77,                 1.3207,                  0.766,                 1.1646,                0.97089,                0.33402,                 0.4192,                 0.3117,                    nan,                    nan,                    nan,               0.007492,               0.007492,               0.007492
                     78,                 1.3248,                0.76303,                 1.1564,                0.95116,                0.33197,                0.42214,                0.31383,                    nan,                    nan,                    nan,               0.007459,               0.007459,               0.007459
                     79,                 1.3079,                0.77267,                 1.1567,                0.96367,                0.33197,                0.42873,                0.31645,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     80,                 1.3041,                0.76183,                 1.1549,                0.97821,                0.33197,                0.41218,                0.30869,                    nan,                    nan,                    nan,               0.007393,               0.007393,               0.007393
                     81,                 1.3057,                0.77434,                 1.1509,                0.93629,                0.33709,                0.40342,                0.30439,                    nan,                    nan,                    nan,                0.00736,                0.00736,                0.00736
                     82,                  1.318,                0.76925,                 1.1615,                0.94937,                0.33402,                0.42121,                0.31898,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     83,                 1.3031,                0.74482,                 1.1537,                0.97294,                0.33155,                0.41096,                0.30942,                    nan,                    nan,                    nan,               0.007294,               0.007294,               0.007294
                     84,                  1.296,                0.76278,                  1.148,                0.97706,                0.33299,                0.42497,                0.31477,                    nan,                    nan,                    nan,               0.007261,               0.007261,               0.007261
                     85,                 1.2893,                0.74575,                 1.1372,                 0.9643,                0.33402,                0.43367,                0.32611,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     86,                 1.2802,                0.74763,                 1.1425,                0.95901,                0.33607,                0.42845,                0.32316,                    nan,                    nan,                    nan,               0.007195,               0.007195,               0.007195
                     87,                 1.2939,                0.74354,                  1.144,                0.97147,                0.33402,                0.42547,                0.31723,                    nan,                    nan,                    nan,               0.007162,               0.007162,               0.007162
                     88,                 1.2969,                0.74421,                 1.1437,                0.98195,                0.33446,                0.43615,                0.32725,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     89,                 1.2996,                0.74486,                 1.1392,                0.97221,                0.33402,                0.40612,                0.30652,                    nan,                    nan,                    nan,               0.007096,               0.007096,               0.007096
                     90,                 1.2825,                0.72885,                 1.1414,                0.97864,                0.33709,                0.41852,                0.31248,                    nan,                    nan,                    nan,               0.007063,               0.007063,               0.007063
                     91,                 1.2849,                0.72874,                 1.1322,                0.97631,                0.33784,                 0.4359,                0.32702,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     92,                  1.298,                0.74066,                 1.1428,                0.98833,                0.33607,                0.42777,                0.32293,                    nan,                    nan,                    nan,               0.006997,               0.006997,               0.006997
                     93,                 1.2948,                0.74295,                 1.1415,                0.95922,                0.33743,                0.44445,                0.33628,                    nan,                    nan,                    nan,               0.006964,               0.006964,               0.006964
                     94,                 1.2931,                0.74194,                 1.1394,                0.97539,                0.33607,                0.43129,                0.32357,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     95,                 1.2759,                0.72171,                 1.1339,                0.97113,                0.33709,                0.43061,                0.32686,                    nan,                    nan,                    nan,               0.006898,               0.006898,               0.006898
                     96,                 1.2595,                0.71826,                 1.1312,                0.98574,                0.33402,                0.43725,                0.32858,                    nan,                    nan,                    nan,               0.006865,               0.006865,               0.006865
                     97,                 1.2836,                0.73607,                 1.1356,                0.98489,                0.33393,                0.42879,                0.32636,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     98,                 1.2684,                0.71085,                 1.1303,                0.96866,                0.33402,                0.44108,                 0.3351,                    nan,                    nan,                    nan,               0.006799,               0.006799,               0.006799
                     99,                 1.2646,                0.73293,                 1.1245,                0.97726,                0.33607,                0.42872,                0.32432,                    nan,                    nan,                    nan,               0.006766,               0.006766,               0.006766
                    100,                 1.2786,                0.73749,                 1.1228,                0.98484,                0.33272,                0.42028,                0.31725,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                    101,                   1.26,                0.71857,                 1.1289,                0.97288,                0.33709,                0.42031,                0.31773,                    nan,                    nan,                    nan,                 0.0067,                 0.0067,                 0.0067
